MMMV	SMILES	DISEASE
MMV687246	CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3ccc4c(Nc5ccc6nn[nH]c6c5)ccnc4c3	MALARIA
MMV024829	CC(C)CN1CCC(CC1)N(C)c2cc(NC(=O)c3cccc(C)c3)ccn2	MALARIA
MMV023227	Cc1nc([nH]c1C)c2cccc(NCc3ccccc3)c2	MALARIA
MMV024035	O=C(Nc1ccccc1)c2ccc(s2)c3cc4ccncc4cc3OC5CCNCC5	MALARIA
MMV008439	COc1ccc(CN2CCOc3ccc(cc3C2)C(C)(O)CN(C)C)cc1C	MALARIA
MMV687794	CC1(C)Cc2c(CO1)c(nc3snc(Br)c23)N4CCOCC4	MALARIA
MMV1019989	CCc1ccc(cc1)C(NCc2nc(N)nc(n2)N(C)C)C(C)C	MALARIA
MMV062221	Cc1cc(C)nc(n1)n2nc(C)cc2Nc3ccccc3	MALARIA
MMV1088520	CC(C)N(Cc1ccccn1)Cc2csc(n2)c3oc(C)cc3	MALARIA
MMV1028806	Fc1ccccc1C2CC2C(=O)Nc3nc(cs3)c4ccccn4	MALARIA
MMV1030799	CCCn1c(NC(=O)c2ccc3ccccc3n2)nc4ccccc14	MALARIA
MMV1037162	CCNC(=O)C(C)Nc1nc(nc2sc(C)c(C)c12)c3cccnc3	MALARIA
MMV1029203	CNC(=O)CNc1nc(nc2scc(c3ccccc3)c12)c4ccccn4	MALARIA
MMV011229	CC1=NC2=NC=CN2C(NC3=CC=C(C(F)(F)F)C=C3)=C1	MALARIA
MMV016838	Cc1ccc(cc1)-c1cc(c2cc(ccc2n1)Br)C(=O)Nc1cccnc1	MALARIA
MMV634140	Clc1ccc2nc(cc(c2c1)C(=O)NCCN1CCCC1)NCCN1CCOCC1	MALARIA
MMV667494	FC1(F)CCN(CCCCNc2cc(c3cc(ccc3n2)Cl)C(=O)NCCN2CCCC2)CC1	MALARIA
MMV006833	Cc1cc(Cl)c(cc1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCCC3	MALARIA
MMV007133	CC(C)N(Cc1ccccc1)S(=O)(=O)c2ccc(cc2)C(=O)Nc3cc(C)on3	MALARIA
MMV007471	COc1cc(OC)cc(c1)C(=O)NCC2Cc3cc(Cl)cc(c3O2)c4ccncc4	MALARIA
MMV007625	Cc1cc(C)n(n1)c2ccc(NC(=O)C3CCN(Cc4cnc(C)s4)CC3)cc2	MALARIA
MMV007803	Clc1ccccc1CSCc2oc(cc2)C(=O)NC3CC3	MALARIA
MMV011511	COc1ccc(CCN2CCC(CC2)NCc3cccc(c3)N(C)C)cc1	MALARIA
MMV011765	FC(F)(F)c1cnc(Sc2oc(nn2)c3ccncc3)c(Cl)c1	MALARIA
MMV019790	CCOc1ccccc1C(=O)Nc2cccc(c2)c3nc4ncccn4c3C	MALARIA
MMV019993	CC(Nc1nncc(n1)c2ccc(cc2)C(F)(F)F)c3cn(C)nc3C	MALARIA
MMV020388	CC(Nc1cc(Cl)ccc1N2CCOCC2)C(=O)N3CCCC(C)C3	MALARIA
MMV020670	COc1ccc(cc1)c2cncc3ccc(nc23)C(=O)NCCCn4ccnc4	MALARIA
MMV021057	CO\C=C(\C(=O)OC)/c1ccccc1Oc2cc(Oc3ccccc3C#N)ncn2	MALARIA
MMV676358	Nc1ncc(Br)cc1c2nc3cc(Cl)cnc3[nH]2	MALARIA
MMV023183	C(C1CC1)N2Cc3ccccc3OC4(CCN(Cc5c[nH]c6cnccc56)CC4)C2	MALARIA
MMV688980	CCC1=CC(=O)N(C)C(=N1)SC(C)C(=O)Nc2ccc(F)cc2	MALARIA
MMV021375	CC(C)CNc1cc(nc2c([nH]nc12)-c1ccccc1)C	MALARIA
MMV009135	O=C(C1CCN(CC1)c2nnnn2c3ccccc3)N4CCc5ccccc5C4	MALARIA
MMV004168	CN1CCCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3	KINETOPLASTIDS
